id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,Timestamp
1,Bitcoin,BTC,bitcoin,11800,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19783550.0,19783550.0,False,,1,,,,2024-11-17T17:23:00.000Z,90343.95375167347,42680432402.348656,-25.2811,0.14912831,-0.57502608,13.20818411,31.46651683,51.42066031,53.49757471,1787324126243.9197,59.0819,1897223028785.14,,2024-11-17T17:23:00.000Z,,,,,,2024-11-18 00:24:10.508485,
1027,Ethereum,ETH,ethereum,9561,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120422508.55189973,120422508.55189973,True,,2,,,,2024-11-17T17:23:00.000Z,3090.503721946099,26317194316.763393,-12.795,0.05091495,-2.00922527,-3.84118363,16.76188826,34.5984234,18.91494046,372166210885.73206,12.3023,372166210885.73,,2024-11-17T17:23:00.000Z,,,,,,2024-11-18 00:24:10.508485,
825,Tether USDt,USDT,tether,103707,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,127537303558.54819,129825664180.7598,True,,3,,,,2024-11-17T17:22:00.000Z,1.0000918181804122,129572121646.72186,-12.0312,0.00669027,-0.01651506,-0.07452899,0.01581496,0.00232481,-0.01873023,127549013801.6956,4.2152,129837584537.02,,2024-11-17T17:22:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-11-18 00:24:10.508485,
5426,Solana,SOL,solana,787,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,472119875.4535705,588589590.6214832,True,,4,,,,2024-11-17T17:22:00.000Z,232.39094346236215,9154714955.752419,68.1003,-0.57904128,8.33341539,10.01153144,49.28137322,81.29440703,60.94617082,109716383283.98816,3.6259,136782890276.65,,2024-11-17T17:22:00.000Z,,,,,,2024-11-18 00:24:10.508485,
1839,BNB,BNB,bnb,2282,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144098748.7558099,144098748.7558099,False,,5,,,,2024-11-17T17:23:00.000Z,621.1069504596172,2414260271.4493995,10.3713,-0.35576467,-0.84021006,-2.84741889,3.31425503,15.13101457,12.71199258,89500734404.76765,2.9578,89500734404.77,,2024-11-17T17:23:00.000Z,,,,,,2024-11-18 00:24:10.508485,
52,XRP,XRP,xrp,1430,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56931242174.0,99987013354.0,False,,6,,,,2024-11-17T17:23:00.000Z,1.0789470904151715,14625146861.209118,-30.8675,-0.13899892,-5.43123825,77.91855445,97.0514383,90.60106925,81.35518431,61425798097.3588,2.0291,107894709041.52,,2024-11-17T17:23:00.000Z,,,,,,2024-11-18 00:24:10.508485,
74,Dogecoin,DOGE,dogecoin,1101,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146831026383.70526,146831026383.70526,True,,7,,,,2024-11-17T17:23:00.000Z,0.3673991847288295,7509650041.58196,-17.7351,1.18234957,-0.75803329,38.65011903,163.81014505,266.24924189,265.52441074,53945599386.27057,1.7832,53945599386.27,,2024-11-17T17:23:00.000Z,,,,,,2024-11-18 00:24:10.508485,
3408,USDC,USDC,usd-coin,23122,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,37181296880.21434,37181296880.21434,False,,8,,,,2024-11-17T17:22:00.000Z,0.9999858937609172,7539131687.945939,-11.9071,0.00415632,0.00228751,0.00417856,-0.00315479,0.00056296,-0.0039155,37180772391.95114,1.2287,37180772391.95,,2024-11-17T17:22:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-11-18 00:24:10.508485,
2010,Cardano,ADA,cardano,1352,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35033776787.310196,44995037803.61046,False,,9,,,,2024-11-17T17:23:00.000Z,0.7404680845412098,2702127950.4260535,-52.7573,1.94729664,-1.89543895,20.34886694,110.26248297,124.87015135,122.41309929,25941393591.943882,0.8569,33321063804.35,,2024-11-17T17:23:00.000Z,,,,,,2024-11-18 00:24:10.508485,
1958,TRON,TRX,tron,1069,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86376355344.86737,86376365753.40936,True,,10,,,,2024-11-17T17:23:00.000Z,0.19740848604575226,758151762.5339928,-33.9335,0.47229132,-3.0131035,18.65015,23.87372905,32.38631987,41.51698486,17051425538.78019,0.5635,17051427593.51,,2024-11-17T17:23:00.000Z,,,,,,2024-11-18 00:24:10.508485,
5994,Shiba Inu,SHIB,shiba-inu,903,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589260502748674.5,589512465468568.8,False,,11,,,,2024-11-17T17:22:00.000Z,2.5035967017312132e-05,1148517175.8871777,-23.8911,-0.56270961,2.46025935,-7.34417335,31.85014591,90.64564674,90.7451666,14752706511.42058,0.4872,14759014641.77,,2024-11-17T17:22:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-11-18 00:24:10.508485,
